name,format,download_url,downloads,date_text,topic_name,category,post_url,post#
Horizontal_Alert_Lines,ex4,https://www.forexfactory.com/attachment/file/2777859?d=1524772397,1009,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
Horizontal_Alert_Lines,mq4,https://www.forexfactory.com/attachment/file/2777860?d=1524772398,1150,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
trendline price alert v14 - MOD 01 CM_004,ex4,https://www.forexfactory.com/attachment/file/2777862?d=1524772398,1048,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
trendline price alert v14,ex4,https://www.forexfactory.com/attachment/file/2777865?d=1524772399,990,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
trendline price alert v14,mq4,https://www.forexfactory.com/attachment/file/2777868?d=1524772400,1154,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
trendline price alert v15 - MOD 01 CM_001,mq4,https://www.forexfactory.com/attachment/file/2777869?d=1524772400,1258,"Apr 27, 2018 1:53am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11003960#post11003960,583
#Soho_Chickou_Candles,ex4,https://www.forexfactory.com/attachment/file/2783773?d=1525203171,803,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
#Soho_Chickou_Candles,mq4,https://www.forexfactory.com/attachment/file/2783776?d=1525203171,921,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Alerter4U,ex4,https://www.forexfactory.com/attachment/file/2783778?d=1525203172,784,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Alerter4U,mq4,https://www.forexfactory.com/attachment/file/2783779?d=1525203173,879,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Pivots Month,ex4,https://www.forexfactory.com/attachment/file/2783781?d=1525203174,776,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Pivots Month,mq4,https://www.forexfactory.com/attachment/file/2783784?d=1525203175,841,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Pivots Week,ex4,https://www.forexfactory.com/attachment/file/2783785?d=1525203176,799,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
Pivots Week,mq4,https://www.forexfactory.com/attachment/file/2783787?d=1525203177,896,"May 2, 2018 1:33am",Indicator Bank,Platform Tech,https://www.forexfactory.com/thread/post/11016885#post11016885,586
